城市,日期,白天天氣現象,白天降雨機率,白天最低溫度,白天舒適度,白天最高溫度,晚上天氣現象,晚上降雨機率,晚上最低溫度,晚上舒適度,晚上最高溫度
基隆市,2023-01-18,陰短暫雨,40,14,寒冷,14,陰短暫雨,40,14,寒冷,14
澎湖縣,2023-01-18,陰時多雲,0,15,寒冷至稍有寒意,16,陰時多雲,0,15,寒冷,15
彰化縣,2023-01-18,晴時多雲,0,14,寒冷至稍有寒意,19,晴時多雲,0,13,寒冷,15
連江縣,2023-01-18,晴時多雲,0,9,非常寒冷至寒冷,10,晴時多雲,0,9,非常寒冷,9
嘉義縣,2023-01-19,晴時多雲,0,12,寒冷至舒適,22,晴時多雲,0,14,寒冷至稍有寒意,18
新北市,2023-01-19,陰時多雲,10,14,寒冷至稍有寒意,18,陰短暫雨,30,16,稍有寒意,17
嘉義市,2023-01-19,晴時多雲,0,12,寒冷至舒適,23,晴時多雲,0,13,寒冷至稍有寒意,18
新竹縣,2023-01-19,晴時多雲,10,13,寒冷至稍有寒意,19,晴時多雲,10,15,寒冷至稍有寒意,17
新竹市,2023-01-19,晴時多雲,10,13,寒冷至稍有寒意,19,晴時多雲,10,15,寒冷至稍有寒意,17
臺北市,2023-01-19,陰天,10,13,寒冷至稍有寒意,18,陰短暫雨,30,15,寒冷至稍有寒意,16
臺南市,2023-01-19,晴時多雲,0,14,寒冷至舒適,22,晴時多雲,0,15,寒冷至稍有寒意,19
宜蘭縣,2023-01-19,陰天,20,14,寒冷至稍有寒意,18,陰短暫雨,50,16,稍有寒意,17
苗栗縣,2023-01-19,晴時多雲,0,12,寒冷至稍有寒意,19,晴時多雲,0,14,寒冷至稍有寒意,16
雲林縣,2023-01-19,晴時多雲,0,12,寒冷至舒適,22,晴時多雲,0,14,寒冷至稍有寒意,18
花蓮縣,2023-01-19,多雲時晴,10,16,稍有寒意,20,多雲短暫雨,40,17,稍有寒意,19
臺中市,2023-01-19,晴時多雲,0,13,寒冷至舒適,23,晴時多雲,0,15,寒冷至稍有寒意,19
臺東縣,2023-01-19,晴時多雲,10,17,稍有寒意至舒適,23,多雲,10,18,稍有寒意至舒適,21
桃園市,2023-01-19,多雲時陰,10,13,寒冷至稍有寒意,19,陰天,10,16,稍有寒意,17
南投縣,2023-01-19,晴時多雲,0,12,寒冷至舒適,23,晴時多雲,0,13,寒冷至稍有寒意,19
高雄市,2023-01-19,晴時多雲,0,15,寒冷至舒適,25,晴時多雲,0,16,稍有寒意至舒適,22
金門縣,2023-01-19,晴時多雲,0,11,寒冷至稍有寒意,17,晴時多雲,0,13,寒冷,14
屏東縣,2023-01-19,晴時多雲,0,15,寒冷至舒適,27,晴時多雲,0,16,稍有寒意至舒適,23
基隆市,2023-01-19,陰短暫雨,40,14,寒冷至稍有寒意,16,陰短暫雨,50,16,稍有寒意,16
澎湖縣,2023-01-19,晴時多雲,0,15,寒冷至稍有寒意,18,晴時多雲,0,16,稍有寒意,16
彰化縣,2023-01-19,晴時多雲,0,13,寒冷至舒適,21,晴時多雲,0,15,寒冷至稍有寒意,17
連江縣,2023-01-19,晴時多雲,0,9,非常寒冷至寒冷,12,晴時多雲,0,10,非常寒冷至寒冷,11
嘉義縣,2023-01-20,晴時多雲,0,14,寒冷至舒適,23,多雲時晴,0,14,寒冷至稍有寒意,19
新北市,2023-01-20,陰天,10,16,稍有寒意,17,陰短暫雨,60,15,寒冷至稍有寒意,16
嘉義市,2023-01-20,晴時多雲,0,13,寒冷至舒適,25,多雲,0,14,寒冷至稍有寒意,19
新竹縣,2023-01-20,晴時多雲,0,15,寒冷至稍有寒意,19,多雲,10,15,寒冷至稍有寒意,16
新竹市,2023-01-20,晴時多雲,0,15,寒冷至稍有寒意,18,多雲時晴,10,15,寒冷至稍有寒意,16
臺北市,2023-01-20,陰短暫雨,30,15,寒冷至稍有寒意,17,陰短暫雨,60,15,寒冷至稍有寒意,16
臺南市,2023-01-20,晴時多雲,0,15,寒冷至舒適,23,晴時多雲,0,15,寒冷至稍有寒意,19
宜蘭縣,2023-01-20,陰短暫雨,40,16,稍有寒意,17,陰短暫雨,70,15,寒冷至稍有寒意,17
苗栗縣,2023-01-20,晴時多雲,0,14,寒冷至稍有寒意,20,多雲時晴,0,14,寒冷至稍有寒意,16
雲林縣,2023-01-20,晴時多雲,0,13,寒冷至舒適,23,多雲時晴,0,14,寒冷至稍有寒意,18
花蓮縣,2023-01-20,陰短暫雨,40,18,稍有寒意,19,陰時多雲短暫雨,30,17,稍有寒意,18
臺中市,2023-01-20,晴時多雲,0,15,寒冷至舒適,23,晴時多雲,0,15,寒冷至稍有寒意,19
臺東縣,2023-01-20,陰時多雲短暫雨,30,18,稍有寒意至舒適,23,陰時多雲短暫雨,30,18,稍有寒意,20
桃園市,2023-01-20,陰天,10,16,稍有寒意,18,陰天,20,15,寒冷至稍有寒意,16
南投縣,2023-01-20,晴時多雲,0,13,寒冷至舒適,24,多雲,0,14,寒冷至稍有寒意,20
高雄市,2023-01-20,晴時多雲,0,16,稍有寒意至舒適,25,晴時多雲,0,18,稍有寒意至舒適,23
金門縣,2023-01-20,晴時多雲,0,13,寒冷至稍有寒意,17,多雲時晴,0,12,寒冷,14
屏東縣,2023-01-20,晴時多雲,0,16,稍有寒意至舒適,27,晴時多雲,0,17,稍有寒意至舒適,23
基隆市,2023-01-20,陰短暫雨,30,15,寒冷至稍有寒意,16,陰短暫雨,80,15,寒冷至稍有寒意,16
澎湖縣,2023-01-20,多雲時晴,0,16,稍有寒意,18,多雲時晴,0,16,稍有寒意,16
彰化縣,2023-01-20,晴時多雲,0,14,寒冷至舒適,22,多雲時晴,0,15,寒冷至稍有寒意,18
連江縣,2023-01-20,陰天,0,10,非常寒冷至寒冷,13,陰時多雲,0,10,非常寒冷至寒冷,10
嘉義縣,2023-01-21,晴時多雲,20,15,寒冷至舒適,24,晴時多雲,0,16,稍有寒意,20
新北市,2023-01-21,陰短暫雨,30,15,寒冷至舒適,21,多雲時陰,10,16,稍有寒意,18
嘉義市,2023-01-21,晴時多雲,20,14,寒冷至舒適,25,晴時多雲,0,15,寒冷至稍有寒意,20
新竹縣,2023-01-21,多雲時晴,20,15,寒冷至舒適,22,晴時多雲,0,15,寒冷至稍有寒意,17
新竹市,2023-01-21,多雲時晴,20,15,寒冷至舒適,21,晴時多雲,0,15,寒冷至稍有寒意,17
臺北市,2023-01-21,陰短暫雨,40,15,寒冷至舒適,20,多雲時陰,10,16,稍有寒意,18
臺南市,2023-01-21,晴時多雲,10,16,稍有寒意至舒適,23,晴時多雲,0,17,稍有寒意,20
宜蘭縣,2023-01-21,陰短暫雨,50,16,稍有寒意至舒適,21,多雲時陰短暫雨,30,16,稍有寒意,19
苗栗縣,2023-01-21,多雲時晴,20,15,寒冷至舒適,22,晴時多雲,0,15,寒冷至稍有寒意,18
雲林縣,2023-01-21,晴時多雲,20,14,寒冷至舒適,24,晴時多雲,0,15,寒冷至稍有寒意,19
花蓮縣,2023-01-21,陰天,20,17,稍有寒意至舒適,21,多雲時陰,20,18,稍有寒意至舒適,20
臺中市,2023-01-21,晴時多雲,20,16,稍有寒意至舒適,24,晴時多雲,0,16,稍有寒意,20
臺東縣,2023-01-21,陰天,10,18,稍有寒意至舒適,23,陰短暫雨,30,19,稍有寒意至舒適,21
桃園市,2023-01-21,多雲時陰,20,15,寒冷至舒適,22,多雲時晴,10,15,寒冷至稍有寒意,18
南投縣,2023-01-21,晴時多雲,20,15,寒冷至舒適,25,晴時多雲,0,15,寒冷至稍有寒意,20
高雄市,2023-01-21,晴時多雲,10,18,稍有寒意至舒適,24,晴時多雲,0,18,稍有寒意至舒適,22
金門縣,2023-01-21,多雲短暫雨,30,12,寒冷至稍有寒意,17,晴時多雲,0,14,寒冷,15
屏東縣,2023-01-21,晴時多雲,10,17,稍有寒意至舒適,27,晴時多雲,0,17,稍有寒意至舒適,24
基隆市,2023-01-21,陰短暫雨,90,15,寒冷至稍有寒意,19,多雲短暫雨,30,17,稍有寒意,18
澎湖縣,2023-01-21,陰時多雲,20,16,稍有寒意,19,晴時多雲,0,17,稍有寒意,17
彰化縣,2023-01-21,晴時多雲,20,15,寒冷至舒適,23,多雲時晴,0,15,寒冷至稍有寒意,18
連江縣,2023-01-21,陰時多雲,10,10,非常寒冷至寒冷,12,陰短暫雨,40,11,寒冷,11
嘉義縣,2023-01-23,多雲時晴,10,16,稍有寒意至舒適,25,晴時多雲,10,15,寒冷至稍有寒意,20
新北市,2023-01-23,陰短暫雨,30,17,稍有寒意,20,陰短暫雨,90,14,寒冷至稍有寒意,18
嘉義市,2023-01-23,多雲時晴,10,16,稍有寒意至舒適,27,晴時多雲,10,15,寒冷至舒適,21
新竹縣,2023-01-23,陰時多雲,20,16,稍有寒意至舒適,21,陰短暫雨,80,13,寒冷至稍有寒意,18
新竹市,2023-01-23,陰時多雲,20,16,稍有寒意,20,陰短暫雨,70,13,寒冷至稍有寒意,18
臺北市,2023-01-23,陰短暫雨,30,16,稍有寒意,20,陰短暫雨,90,13,寒冷至稍有寒意,18
臺南市,2023-01-23,多雲時晴,10,18,稍有寒意至舒適,24,晴時多雲,10,16,稍有寒意至舒適,21
宜蘭縣,2023-01-23,陰短暫雨,30,17,稍有寒意至舒適,21,陰短暫雨,30,15,寒冷至稍有寒意,19
苗栗縣,2023-01-23,多雲,20,16,稍有寒意至舒適,21,陰時多雲短暫雨,30,13,寒冷至稍有寒意,18
雲林縣,2023-01-23,多雲時晴,10,16,稍有寒意至舒適,26,晴時多雲,10,15,寒冷至舒適,21
花蓮縣,2023-01-23,陰短暫雨,30,18,稍有寒意至舒適,22,陰時多雲,20,18,稍有寒意至舒適,21
臺中市,2023-01-23,多雲時晴,10,17,稍有寒意至舒適,26,晴時多雲,10,15,寒冷至舒適,21
臺東縣,2023-01-23,陰時多雲,20,19,稍有寒意至舒適,24,陰天,20,19,稍有寒意至舒適,22
桃園市,2023-01-23,陰天,20,16,稍有寒意,20,陰短暫雨,90,13,寒冷至稍有寒意,18
南投縣,2023-01-23,多雲時晴,10,16,稍有寒意至舒適,26,多雲時晴,10,15,寒冷至舒適,22
高雄市,2023-01-23,多雲,10,20,稍有寒意至舒適,26,晴時多雲,10,18,稍有寒意至舒適,24
金門縣,2023-01-23,晴時多雲,10,15,寒冷至稍有寒意,18,陰時多雲,20,14,寒冷至稍有寒意,16
屏東縣,2023-01-23,多雲,10,19,稍有寒意至舒適,29,晴時多雲,10,18,稍有寒意至舒適,25
基隆市,2023-01-23,陰短暫雨,50,17,稍有寒意,19,陰短暫雨,90,14,寒冷至稍有寒意,18
澎湖縣,2023-01-23,晴時多雲,10,17,稍有寒意至舒適,20,多雲時陰,10,14,寒冷至稍有寒意,17
彰化縣,2023-01-23,多雲時晴,10,17,稍有寒意至舒適,23,晴時多雲,10,15,寒冷至稍有寒意,19
連江縣,2023-01-23,多雲,20,12,寒冷,13,陰時多雲短暫雨,30,9,非常寒冷至寒冷,12
嘉義縣,2023-01-24,晴時多雲,10,12,寒冷至稍有寒意,16,晴時多雲,0,8,非常寒冷至寒冷,12
新北市,2023-01-24,陰時多雲短暫雨,60,9,非常寒冷至寒冷,13,多雲時陰短暫雨,30,8,非常寒冷,9
嘉義市,2023-01-24,晴時多雲,10,12,寒冷至稍有寒意,17,晴時多雲,0,8,非常寒冷至寒冷,12
新竹縣,2023-01-24,陰時多雲短暫雨,50,9,非常寒冷至寒冷,12,多雲時晴,20,8,非常寒冷,9
新竹市,2023-01-24,陰時多雲短暫雨,40,9,非常寒冷至寒冷,12,多雲時晴,20,8,非常寒冷,9
臺北市,2023-01-24,陰短暫雨,60,9,非常寒冷至寒冷,12,陰時多雲短暫雨,60,8,非常寒冷,9
臺南市,2023-01-24,晴時多雲,10,14,寒冷至稍有寒意,17,晴時多雲,0,10,非常寒冷至寒冷,14
宜蘭縣,2023-01-24,陰時多雲短暫雨,30,9,非常寒冷至寒冷,14,陰天,20,7,非常寒冷,9
苗栗縣,2023-01-24,陰時多雲,10,9,非常寒冷至寒冷,12,晴時多雲,10,7,非常寒冷,9
雲林縣,2023-01-24,晴時多雲,10,12,寒冷至稍有寒意,16,晴時多雲,0,8,非常寒冷至寒冷,12
花蓮縣,2023-01-24,陰天,20,14,寒冷至稍有寒意,17,陰時多雲,20,10,非常寒冷至寒冷,14
臺中市,2023-01-24,多雲時晴,10,12,寒冷,15,晴時多雲,0,9,非常寒冷至寒冷,12
臺東縣,2023-01-24,陰短暫雨,60,15,寒冷至稍有寒意,19,陰短暫雨,60,11,寒冷,15
桃園市,2023-01-24,陰時多雲短暫雨,70,9,非常寒冷至寒冷,12,陰時多雲短暫雨,30,7,非常寒冷,9
南投縣,2023-01-24,多雲時晴,10,13,寒冷至稍有寒意,16,晴時多雲,0,8,非常寒冷至寒冷,13
高雄市,2023-01-24,晴時多雲,10,17,稍有寒意,21,多雲,0,13,寒冷至稍有寒意,19
金門縣,2023-01-24,陰時多雲,10,11,寒冷,14,晴時多雲,0,7,非常寒冷至寒冷,11
屏東縣,2023-01-24,多雲,10,18,稍有寒意至舒適,23,多雲時陰,0,13,寒冷至稍有寒意,20
基隆市,2023-01-24,陰時多雲短暫雨,80,9,非常寒冷至寒冷,13,陰短暫雨,80,8,非常寒冷,9
澎湖縣,2023-01-24,多雲時晴,10,11,寒冷,14,晴時多雲,10,11,寒冷,11
彰化縣,2023-01-24,多雲時晴,10,11,寒冷,14,晴時多雲,0,9,非常寒冷至寒冷,11
連江縣,2023-01-24,晴時多雲,0,7,非常寒冷,9,晴時多雲,0,3,非常寒冷,7
嘉義縣,2023-01-26,晴時多雲,0,10,非常寒冷至稍有寒意,21,晴時多雲,0,13,寒冷至稍有寒意,17
新北市,2023-01-26,多雲時晴,20,10,非常寒冷至稍有寒意,20,多雲短暫雨,30,14,寒冷至稍有寒意,16
嘉義市,2023-01-26,晴時多雲,0,11,寒冷至舒適,22,晴時多雲,0,12,寒冷至稍有寒意,17
新竹縣,2023-01-26,多雲時晴,20,10,非常寒冷至稍有寒意,18,晴時多雲,20,13,寒冷,15
新竹市,2023-01-26,多雲時晴,20,10,非常寒冷至稍有寒意,17,多雲短暫雨,30,13,寒冷,14
臺北市,2023-01-26,多雲時晴,20,10,非常寒冷至稍有寒意,20,多雲短暫雨,40,13,寒冷至稍有寒意,17
臺南市,2023-01-26,晴時多雲,0,13,寒冷至舒適,21,晴時多雲,0,14,寒冷至稍有寒意,18
宜蘭縣,2023-01-26,多雲,20,11,寒冷至稍有寒意,20,多雲,20,14,寒冷至稍有寒意,17
苗栗縣,2023-01-26,晴時多雲,20,10,非常寒冷至稍有寒意,17,晴時多雲,20,13,寒冷,14
雲林縣,2023-01-26,晴時多雲,0,11,寒冷至稍有寒意,21,晴時多雲,0,12,寒冷至稍有寒意,16
花蓮縣,2023-01-26,多雲,10,14,寒冷至稍有寒意,20,多雲,20,16,稍有寒意,18
臺中市,2023-01-26,晴時多雲,0,12,寒冷至稍有寒意,21,晴時多雲,0,14,寒冷至稍有寒意,17
臺東縣,2023-01-26,多雲,10,14,寒冷至舒適,22,多雲,20,16,稍有寒意,19
桃園市,2023-01-26,多雲,20,10,非常寒冷至稍有寒意,19,多雲短暫雨,30,13,寒冷,15
南投縣,2023-01-26,晴時多雲,0,11,寒冷至稍有寒意,20,晴時多雲,0,13,寒冷至稍有寒意,17
高雄市,2023-01-26,晴時多雲,0,15,寒冷至舒適,22,晴時多雲,0,16,稍有寒意,20
金門縣,2023-01-26,晴時多雲,0,9,非常寒冷至寒冷,15,晴時多雲,0,13,寒冷,13
屏東縣,2023-01-26,晴時多雲,0,14,寒冷至舒適,25,晴時多雲,0,15,寒冷至舒適,22
基隆市,2023-01-26,多雲短暫雨,30,12,寒冷至稍有寒意,18,多雲短暫雨,50,14,寒冷至稍有寒意,16
澎湖縣,2023-01-26,晴時多雲,0,13,寒冷至稍有寒意,16,晴時多雲,0,15,寒冷,15
彰化縣,2023-01-26,晴時多雲,0,11,寒冷至稍有寒意,19,晴時多雲,0,13,寒冷,15
連江縣,2023-01-26,晴時多雲,0,6,非常寒冷至寒冷,12,多雲時晴,10,10,非常寒冷至寒冷,11
